X,Y,fingerMag
1.1,1.4,68.165426
1.1,1.5,69.183805
1.1,1.6,70.234774
1.1,1.7,71.280022
1.1,1.8,72.281237
1.1,1.9,73.200512
1.1,2.0,74.011887
1.1,2.1,74.703052
1.1,2.2,75.262443
1.1,2.3,75.678495
1.1,2.4,75.939645
1.1,2.5,76.034329
1.1,2.6,75.950982
1.1,2.7,75.678041
1.1,2.8,75.207613
1.1,2.9,74.551392
1.1,3.0,73.727571
1.1,3.1,72.754346
1.1,3.2,71.649916
1.1,3.3,70.432477
1.1,3.4,69.120229
1.1,3.5,67.731366
1.1,3.6,66.284089
1.1,3.7,64.796593
1.1,3.8,63.287192
1.1,3.9,61.779143
1.1,4.1,60.302428
1.1,4.2,58.887509
1.1,4.3,57.564847
1.1,4.4,56.364904
1.1,4.5,55.318142
1.1,4.6,54.454079
1.1,4.7,53.780595
1.1,4.8,53.283965
1.1,4.9,52.949524
1.1,5.0,52.762609
1.1,5.1,52.708557
1.1,5.2,52.772704
1.1,5.3,52.940386
1.1,5.4,53.196940
1.1,5.5,53.527811
1.1,5.6,53.919858
1.1,5.7,54.360933
1.1,5.8,54.838907
1.1,5.9,55.341654
1.1,6.0,55.857046
1.1,6.1,56.372955
1.1,6.2,56.877253
1.1,6.3,57.357812
1.1,6.4,57.802519
1.1,6.5,58.204008
1.1,6.6,58.566743
1.1,6.7,58.896993
1.1,6.8,59.201028
1.1,6.9,59.485121
1.1,7.0,59.755540
1.1,7.1,60.018557
1.1,7.2,60.280442
1.1,7.3,60.547466
1.1,7.4,60.825900
1.1,7.5,61.122013
1.1,7.6,61.442077
1.1,7.7,61.792361
1.1,7.8,62.179137
1.1,7.9,62.608676
1.1,8.0,63.087247
1.2,0.0,60.686489
1.2,0.1,60.746763
1.2,0.2,60.899947
1.2,0.3,61.142252
1.2,0.4,61.469891
1.2,0.5,61.879076
1.2,0.6,62.366017
1.2,0.7,62.926927
1.2,0.8,63.558018
1.2,0.9,64.255502
1.2,1.0,65.015590
1.2,1.1,65.834494
1.2,1.2,66.708427
1.2,1.3,67.633599
1.2,1.4,68.606137
1.2,1.5,69.615585
1.2,1.6,70.640377
1.2,1.7,71.657876
1.2,1.8,72.645446
1.2,1.9,73.580503
1.2,2.0,74.441987
1.2,2.1,75.210587
1.2,2.2,75.867084
1.2,2.3,76.392262
1.2,2.4,76.766904
1.2,2.5,76.971790
1.2,2.6,76.987705
1.2,2.7,76.795430
1.2,2.8,76.380677
1.2,2.9,75.755435
1.2,3.0,74.940417
1.2,3.1,73.956345
1.2,3.2,72.823936
1.2,3.3,71.563911
1.2,3.4,70.196988
1.2,3.5,68.743888
1.2,3.6,67.225330
1.2,3.7,65.662033
1.2,3.8,64.074808
1.2,3.9,62.488366
1.2,4.1,60.932723
1.2,4.2,59.438274
1.2,4.3,58.035413
1.2,4.4,56.754536
1.2,4.5,55.626035
1.2,4.6,54.679396
1.2,4.7,53.923192
1.2,4.8,53.345119
1.2,4.9,52.931969
1.2,5.0,52.670532
1.2,5.1,52.547599
1.2,5.2,52.549959
1.2,5.3,52.664405
1.2,5.4,52.877726
1.2,5.5,53.176650
1.2,5.6,53.547080
1.2,5.7,53.974340
1.2,5.8,54.443742
1.2,5.9,54.940600
1.2,6.0,55.450224
1.2,6.1,55.957929
1.2,6.2,56.449025
1.2,6.3,56.908826
1.2,6.4,57.322659
1.2,6.5,57.681710
1.2,6.6,57.991740
1.2,6.7,58.260740
1.2,6.8,58.496703
1.2,6.9,58.707618
1.2,7.0,58.901479
1.2,7.1,59.086276
1.2,7.2,59.270001
1.2,7.3,59.460645
1.2,7.4,59.666200
1.2,7.5,59.894657
1.2,7.6,60.154007
1.2,7.7,60.452242
1.2,7.8,60.797353
1.2,7.9,61.197332
1.2,8.0,61.660171
1.3,0.0,60.319817
1.3,0.1,60.295916
1.3,0.2,60.413609
1.3,0.3,60.662312
1.3,0.4,61.031442
1.3,0.5,61.510417
1.3,0.6,62.088653
1.3,0.7,62.755567
1.3,0.8,63.500577
1.3,0.9,64.313099
1.3,1.0,65.182551
1.3,1.1,66.098349
1.3,1.2,67.049912
1.3,1.3,68.026654
1.3,1.4,69.018011
1.3,1.5,70.014657
1.3,1.6,71.009365
1.3,1.7,71.995108
1.3,1.8,72.964862
1.3,1.9,73.911301
1.3,2.0,74.818287
1.3,2.1,75.659605
1.3,2.2,76.408494
1.3,2.3,77.038190
1.3,2.4,77.521928
1.3,2.5,77.832946
1.3,2.6,77.944481
1.3,2.7,77.829768
1.3,2.8,77.468219
1.3,2.9,76.872169
1.3,3.0,76.064880
1.3,3.1,75.069623
